time,"I(R0)","I(R1)","I(R2)","I(LQ|XI227)","I(LQ|XI228)"
0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,-8.536664e-11,1.129377e-05,2.342117e-25,-1.423751e-40,8.069999e-36
4.000000e-13,-3.454769e-10,2.258473e-05,1.077250e-23,-7.006152e-39,3.854601e-34
6.000000e-13,-7.172454e-10,3.387548e-05,2.462192e-22,-1.719519e-37,9.166076e-33
8.000000e-13,-1.051174e-09,4.516697e-05,3.728089e-21,-2.806567e-36,1.446721e-31
1.000000e-12,-1.291266e-09,5.645894e-05,4.206110e-20,-3.427369e-35,1.704877e-30
1.200000e-12,-1.502189e-09,6.775075e-05,3.770939e-19,-3.340549e-34,1.599885e-29
1.400000e-12,-1.751635e-09,7.904221e-05,2.797909e-18,-2.707097e-33,1.245221e-28
1.600000e-12,-2.029652e-09,9.033359e-05,1.766753e-17,-1.876222e-32,8.266788e-28
1.800000e-12,-2.283501e-09,1.016251e-04,9.690267e-17,-1.135396e-31,4.777924e-27
2.000000e-12,-2.493617e-09,1.129168e-04,4.688709e-16,-6.094922e-31,2.441749e-26
2.200000e-12,-2.694196e-09,1.242085e-04,2.025910e-15,-2.938859e-30,1.116869e-25
2.400000e-12,-2.928939e-09,1.355001e-04,7.893935e-15,-1.285825e-29,4.617024e-25
2.600000e-12,-3.205163e-09,1.467916e-04,2.796186e-14,-5.147771e-29,1.738583e-24
2.800000e-12,-3.494872e-09,1.580831e-04,9.064604e-14,-1.899127e-28,6.001748e-24
3.000000e-12,-3.768910e-09,1.693747e-04,2.704584e-13,-6.495257e-28,1.909186e-23
3.200000e-12,-4.020608e-09,1.806663e-04,7.463122e-13,-2.070107e-27,5.619029e-23
3.400000e-12,-4.260252e-09,1.919579e-04,1.912583e-12,-6.175762e-27,1.534589e-22
3.600000e-12,-4.497535e-09,2.032495e-04,4.568522e-12,-1.731333e-26,3.895677e-22
3.800000e-12,-4.734522e-09,2.145411e-04,1.020400e-11,-4.576397e-26,9.193919e-22
4.000000e-12,-4.971463e-09,2.258327e-04,2.137127e-11,-1.143826e-25,2.012934e-21
4.200000e-12,-5.212585e-09,2.371242e-04,4.207786e-11,-2.709542e-25,4.064550e-21
4.400000e-12,-5.463563e-09,2.484158e-04,7.806160e-11,-6.093448e-25,7.469980e-21
4.600000e-12,-5.725068e-09,2.597074e-04,1.367424e-10,-1.302058e-24,1.212451e-20
4.800000e-12,-5.990839e-09,2.709990e-04,2.266330e-10,-2.642621e-24,1.601151e-20
5.000000e-12,-6.252273e-09,2.822905e-04,3.560807e-10,-5.082315e-24,1.181910e-20
5.200000e-12,-6.504395e-09,2.935821e-04,5.314245e-10,-9.208710e-24,-2.043657e-20
5.400000e-12,-6.747975e-09,3.048737e-04,7.549447e-10,-1.552430e-23,-1.284800e-19
5.600000e-12,-6.987409e-09,3.161653e-04,1.023238e-09,-2.368205e-23,-4.170514e-19
5.800000e-12,-7.227494e-09,3.274569e-04,1.326726e-09,-3.040092e-23,-1.102319e-18
6.000000e-12,-7.471555e-09,3.387485e-04,1.650771e-09,-2.439148e-23,-2.608435e-18
6.200000e-12,-7.720985e-09,3.500400e-04,1.978380e-09,2.513705e-23,-5.729395e-18
6.400000e-12,-7.975169e-09,3.613316e-04,2.293805e-09,1.931271e-22,-1.187926e-17
6.600000e-12,-8.231448e-09,3.726232e-04,2.585947e-09,6.491563e-22,-2.343029e-17
6.800000e-12,-8.485509e-09,3.839148e-04,2.850367e-09,1.756564e-21,-4.405257e-17
7.000000e-12,-8.732312e-09,3.952063e-04,3.089229e-09,4.259430e-21,-7.874059e-17
7.200000e-12,-8.966843e-09,4.064979e-04,3.309269e-09,9.621714e-21,-1.326984e-16
7.400000e-12,-9.183690e-09,4.177894e-04,3.518688e-09,2.061897e-20,-2.072143e-16
7.600000e-12,-9.375083e-09,4.290810e-04,3.724217e-09,4.233165e-20,-2.887306e-16
7.800000e-12,-9.527857e-09,4.403724e-04,3.929416e-09,8.374909e-20,-3.240168e-16
8.000000e-12,-9.620287e-09,4.516638e-04,4.134607e-09,1.602613e-19,-1.691306e-16
8.200000e-12,-9.619703e-09,4.629550e-04,4.338071e-09,2.973811e-19,5.077994e-16
8.400000e-12,-9.481669e-09,4.742461e-04,4.537672e-09,5.360919e-19,2.400185e-15
