time,"I(R0)","I(R1)","I(R2)","I(LQ|XI227)","I(LQ|XI228)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,3.217441e-08,8.096064e-06,1.978324e-08,-8.702741e-16,-8.978521e-10
4.000000e-13,4.533331e-08,1.922208e-05,2.749435e-08,-4.228128e-15,-2.593414e-09
6.000000e-13,4.837936e-08,3.073010e-05,2.920992e-08,-1.353653e-14,-5.088941e-09
8.000000e-13,4.861784e-08,4.211527e-05,2.932220e-08,-3.481312e-14,-8.329881e-09
1.000000e-12,4.637907e-08,5.343877e-05,2.797851e-08,-7.708264e-14,-1.205756e-08
1.200000e-12,4.235777e-08,6.476128e-05,2.564580e-08,-1.522112e-13,-1.584588e-08
1.400000e-12,3.883710e-08,7.608577e-05,2.368805e-08,-2.736892e-13,-1.923725e-08
1.600000e-12,3.781135e-08,8.739803e-05,2.319687e-08,-4.541002e-13,-2.189401e-08
1.800000e-12,3.957426e-08,9.869189e-05,2.422454e-08,-7.013626e-13,-2.370931e-08
2.000000e-12,4.273458e-08,1.099736e-04,2.589972e-08,-1.014301e-12,-2.484427e-08
2.200000e-12,4.527436e-08,1.212556e-04,2.711053e-08,-1.378586e-12,-2.568213e-08
2.400000e-12,4.580786e-08,1.325479e-04,2.721183e-08,-1.764412e-12,-2.671446e-08
2.600000e-12,4.428354e-08,1.438530e-04,2.632989e-08,-2.127339e-12,-2.839455e-08
2.800000e-12,4.182257e-08,1.551657e-04,2.515649e-08,-2.413373e-12,-3.100174e-08
3.000000e-12,3.992129e-08,1.664773e-04,2.444285e-08,-2.568550e-12,-3.455627e-08
3.200000e-12,3.956289e-08,1.777815e-04,2.454335e-08,-2.552006e-12,-3.880886e-08
3.400000e-12,4.074677e-08,1.890773e-04,2.527016e-08,-2.350051e-12,-4.330748e-08
3.600000e-12,4.263105e-08,2.003686e-04,2.609273e-08,-1.987610e-12,-4.752142e-08
3.800000e-12,4.411406e-08,2.116611e-04,2.650754e-08,-1.533072e-12,-5.098712e-08
4.000000e-12,4.446778e-08,2.229589e-04,2.633203e-08,-1.093353e-12,-5.343484e-08
4.200000e-12,4.367095e-08,2.342621e-04,2.576196e-08,-7.978452e-13,-5.486215e-08
4.400000e-12,4.231070e-08,2.455680e-04,2.519672e-08,-7.725753e-13,-5.553553e-08
4.600000e-12,4.117672e-08,2.568727e-04,2.497235e-08,-1.108840e-12,-5.592106e-08
4.800000e-12,4.081553e-08,2.681736e-04,2.517346e-08,-1.833206e-12,-5.656336e-08
5.000000e-12,4.128758e-08,2.794709e-04,2.562183e-08,-2.887056e-12,-5.794494e-08
5.200000e-12,4.221958e-08,2.907668e-04,2.602062e-08,-4.123129e-12,-6.036259e-08
5.400000e-12,4.307191e-08,3.020638e-04,2.614595e-08,-5.323534e-12,-6.385241e-08
5.600000e-12,4.344270e-08,3.133634e-04,2.596661e-08,-6.238897e-12,-6.818206e-08
5.800000e-12,4.324454e-08,3.246654e-04,2.563352e-08,-6.642807e-12,-7.291092e-08
6.000000e-12,4.268743e-08,3.359681e-04,2.536509e-08,-6.390717e-12,-7.750211e-08
6.200000e-12,4.211493e-08,3.472699e-04,2.531067e-08,-5.469296e-12,-8.145710e-08
6.400000e-12,4.180686e-08,3.585699e-04,2.547439e-08,-4.022096e-12,-8.443885e-08
6.600000e-12,4.185560e-08,3.698682e-04,2.573410e-08,-2.340970e-12,-8.635257e-08
6.800000e-12,4.216256e-08,3.811662e-04,2.593018e-08,-8.197578e-13,-8.736481e-08
7.000000e-12,4.253000e-08,3.924649e-04,2.596259e-08,1.241288e-13,-8.785771e-08
7.200000e-12,4.278006e-08,4.037649e-04,2.583947e-08,1.456640e-13,-8.833167e-08
7.400000e-12,4.283497e-08,4.150660e-04,2.565669e-08,-9.352789e-13,-8.928216e-08
7.600000e-12,4.272783e-08,4.263673e-04,2.553041e-08,-3.067896e-12,-9.108171e-08
7.800000e-12,4.255642e-08,4.376680e-04,2.552815e-08,-5.950601e-12,-9.389500e-08
8.000000e-12,4.241842e-08,4.489678e-04,2.563758e-08,-9.068383e-12,-9.764634e-08
8.200000e-12,4.236562e-08,4.602668e-04,2.578509e-08,-1.178578e-11,-1.020447e-07
8.400000e-12,4.239487e-08,4.715658e-04,2.588625e-08,-1.348008e-11,-1.066582e-07
8.600000e-12,4.246906e-08,4.828651e-04,2.589494e-08,-1.368774e-11,-1.110183e-07
8.800000e-12,4.254768e-08,4.941651e-04,2.582360e-08,-1.223083e-11,-1.147279e-07
9.000000e-12,4.260740e-08,5.054656e-04,2.572780e-08,-9.291649e-12,-1.175497e-07
9.200000e-12,4.264496e-08,5.167662e-04,2.566889e-08,-5.412264e-12,-1.194540e-07
9.400000e-12,4.266730e-08,5.280664e-04,2.567896e-08,-1.411112e-12,-1.206182e-07
9.600000e-12,4.267985e-08,5.393663e-04,2.574727e-08,1.772612e-12,-1.213792e-07
9.800000e-12,4.268212e-08,5.506657e-04,2.583250e-08,3.278233e-12,-1.221530e-07
1.000000e-11,4.267148e-08,5.619652e-04,2.589005e-08,2.525033e-12,-1.233385e-07
1.020000e-11,4.265037e-08,5.732648e-04,2.589717e-08,-6.298453e-13,-1.252306e-07
1.040000e-11,4.262966e-08,5.845647e-04,2.586225e-08,-5.816665e-12,-1.279590e-07
1.060000e-11,4.262507e-08,5.958648e-04,2.581567e-08,-1.218562e-11,-1.314668e-07
1.080000e-11,4.264842e-08,6.071650e-04,2.578988e-08,-1.854851e-11,-1.355306e-07
1.100000e-11,4.269973e-08,6.184650e-04,2.580132e-08,-2.360726e-11,-1.398158e-07
1.120000e-11,4.276532e-08,6.297649e-04,2.584385e-08,-2.622591e-11,-1.439532e-07
1.140000e-11,4.282377e-08,6.410646e-04,2.589539e-08,-2.568988e-11,-1.476195e-07
1.160000e-11,4.285637e-08,6.523642e-04,2.593228e-08,-2.189519e-11,-1.506024e-07
1.180000e-11,4.285653e-08,6.636640e-04,2.594240e-08,-1.542151e-11,-1.528404e-07
1.200000e-11,4.283296e-08,6.749639e-04,2.592995e-08,-7.465537e-12,-1.544272e-07
1.220000e-11,4.280512e-08,6.862638e-04,2.591084e-08,3.609169e-13,-1.555844e-07
1.240000e-11,4.279368e-08,6.975638e-04,2.590237e-08,6.334150e-12,-1.566094e-07
1.260000e-11,4.281088e-08,7.088637e-04,2.591370e-08,8.966272e-12,-1.578105e-07
1.280000e-11,4.285558e-08,7.201635e-04,2.594220e-08,7.327766e-12,-1.594443e-07
1.300000e-11,4.291484e-08,7.314632e-04,2.597655e-08,1.276879e-12,-1.616665e-07
1.320000e-11,4.297077e-08,7.427630e-04,2.600409e-08,-8.456489e-12,-1.645059e-07
1.340000e-11,4.300889e-08,7.540628e-04,2.601776e-08,-2.035741e-11,-1.678656e-07
1.360000e-11,4.302396e-08,7.653627e-04,2.601898e-08,-3.237472e-11,-1.715483e-07
1.380000e-11,4.302116e-08,7.766626e-04,2.601565e-08,-4.229051e-11,-1.752999e-07
1.400000e-11,4.301254e-08,7.879624e-04,2.601700e-08,-4.814345e-11,-1.788609e-07
1.420000e-11,4.301113e-08,7.992622e-04,2.602854e-08,-4.862521e-11,-1.820162e-07
1.440000e-11,4.302552e-08,8.105620e-04,2.604970e-08,-4.337205e-11,-1.846327e-07
1.460000e-11,4.305704e-08,8.218618e-04,2.607510e-08,-3.309066e-11,-1.866786e-07
1.480000e-11,4.310033e-08,8.331616e-04,2.609803e-08,-1.948746e-11,-1.882229e-07
