time,"I(RX1)","I(RX2)","I(RDC)","I(LQ|XI884)","I(LD|XI884)","I(LX|XI884)"
0.000000e+00,-0.000000e+00,-0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,-8.771927e-12,-1.366889e-35,5.647688e-06,-4.047045e-32,-5.796074e-33,7.373711e-33
2.000000e-13,-5.399072e-11,5.529082e-35,1.129379e-05,2.610045e-31,1.653184e-32,-2.085483e-32
3.000000e-13,-1.695162e-10,1.768412e-34,1.693915e-05,4.687201e-31,9.581951e-32,-1.353181e-31
4.000000e-13,-3.623170e-10,3.508304e-34,2.258422e-05,-1.816769e-30,2.610787e-31,-6.743035e-31
5.000000e-13,-5.956611e-10,6.501821e-33,2.822941e-05,-5.610146e-30,3.064980e-30,-1.048365e-29
6.000000e-13,-8.105175e-10,1.015022e-31,3.387505e-05,-1.374720e-29,4.687874e-29,-1.628979e-28
7.000000e-13,-9.643899e-10,1.327632e-30,3.952117e-05,-2.988597e-29,6.211247e-28,-2.140047e-27
8.000000e-13,-1.053740e-09,1.495432e-29,4.516747e-05,-5.422808e-29,7.102233e-27,-2.412664e-26
9.000000e-13,-1.109497e-09,1.470156e-28,5.081362e-05,-1.039864e-28,7.095046e-26,-2.375069e-25
1.000000e-12,-1.177117e-09,1.281993e-27,5.645947e-05,-1.893107e-28,6.288669e-25,-2.073543e-24
1.100000e-12,-1.293920e-09,1.003824e-26,6.210503e-05,-6.393519e-28,5.006474e-24,-1.625365e-23
1.200000e-12,-1.470799e-09,7.128700e-26,6.775047e-05,-3.458624e-27,3.615822e-23,-1.155358e-22
1.300000e-12,-1.685105e-09,4.629293e-25,7.339597e-05,-2.119736e-26,2.388682e-22,-7.508904e-22
1.400000e-12,-1.890718e-09,2.767975e-24,7.904168e-05,-1.275894e-25,1.453393e-21,-4.492827e-21
1.500000e-12,-2.042551e-09,1.532833e-23,8.468760e-05,-7.208518e-25,8.192729e-21,-2.489342e-20
1.600000e-12,-2.121881e-09,7.901298e-23,9.033365e-05,-3.801472e-24,4.300179e-20,-1.283669e-19
1.700000e-12,-2.147015e-09,3.807772e-22,9.597967e-05,-1.876507e-23,2.110868e-19,-6.187554e-19
1.800000e-12,-2.163092e-09,1.722166e-21,1.016256e-04,-8.699825e-23,9.727953e-19,-2.798598e-18
1.900000e-12,-2.217744e-09,7.334636e-21,1.072713e-04,-3.800626e-22,4.223206e-18,-1.191737e-17
2.000000e-12,-2.336853e-09,2.950431e-20,1.129169e-04,-1.569255e-21,1.732347e-17,-4.792226e-17
2.100000e-12,-2.513277e-09,1.123987e-19,1.185626e-04,-6.140493e-21,6.732448e-17,-1.824615e-16
2.200000e-12,-2.713464e-09,4.064934e-19,1.242083e-04,-2.282694e-20,2.484918e-16,-6.593603e-16
2.300000e-12,-2.897097e-09,1.398646e-18,1.298541e-04,-8.079590e-20,8.729848e-16,-2.266370e-15
2.400000e-12,-3.038541e-09,4.587549e-18,1.355000e-04,-2.728375e-19,2.924983e-15,-7.424114e-15
2.500000e-12,-3.138696e-09,1.436986e-17,1.411459e-04,-8.806263e-19,9.363798e-15,-2.321859e-14
2.600000e-12,-3.221754e-09,4.305617e-17,1.467917e-04,-2.721358e-18,2.868903e-14,-6.943960e-14
2.700000e-12,-3.319731e-09,1.235894e-16,1.524375e-04,-8.064200e-18,8.425165e-14,-1.988845e-13
2.800000e-12,-3.453942e-09,3.403210e-16,1.580832e-04,-2.294785e-17,2.374933e-13,-5.462672e-13
2.900000e-12,-3.623553e-09,9.001394e-16,1.637289e-04,-6.279219e-17,6.434275e-13,-1.440652e-12
3.000000e-12,-3.806837e-09,2.289565e-15,1.693746e-04,-1.654206e-16,1.677438e-12,-3.652231e-12
3.100000e-12,-3.973621e-09,5.606463e-15,1.750204e-04,-4.200441e-16,4.212874e-12,-8.909617e-12
3.200000e-12,-4.101585e-09,1.322982e-14,1.806662e-04,-1.029178e-15,1.020349e-11,-2.093542e-11
3.300000e-12,-4.187565e-09,3.011290e-14,1.863121e-04,-2.435658e-15,2.385504e-11,-4.742566e-11
3.400000e-12,-4.248315e-09,6.617007e-14,1.919580e-04,-5.572968e-15,5.388524e-11,-1.036601e-10
3.500000e-12,-4.311090e-09,1.404856e-13,1.976038e-04,-1.233935e-14,1.177037e-10,-2.187793e-10
3.600000e-12,-4.399686e-09,2.883968e-13,2.032496e-04,-2.646091e-14,2.488237e-10,-4.461710e-10
3.700000e-12,-4.523447e-09,5.728539e-13,2.088953e-04,-5.500164e-14,5.094562e-10,-8.797873e-10
3.800000e-12,-4.674576e-09,1.101739e-12,2.145411e-04,-1.109025e-13,1.010998e-09,-1.678395e-09
3.900000e-12,-4.834308e-09,2.052885e-12,2.201868e-04,-2.170822e-13,1.945909e-09,-3.099486e-09
4.000000e-12,-4.983890e-09,3.708130e-12,2.258326e-04,-4.127938e-13,3.635050e-09,-5.543500e-09
4.100000e-12,-5.114210e-09,6.496655e-12,2.314784e-04,-7.630747e-13,6.594627e-09,-9.606834e-09
4.200000e-12,-5.229219e-09,1.104579e-11,2.371243e-04,-1.372193e-12,1.162598e-08,-1.613859e-08
4.300000e-12,-5.342004e-09,1.823446e-11,2.427701e-04,-2.401927e-12,1.992918e-08,-2.629138e-08
4.400000e-12,-5.466294e-09,2.924066e-11,2.484158e-04,-4.095210e-12,3.323732e-08,-4.155127e-08
4.500000e-12,-5.608351e-09,4.557038e-11,2.540616e-04,-6.805109e-12,5.396260e-08,-6.372780e-08
4.600000e-12,-5.763534e-09,6.905230e-11,2.597074e-04,-1.102819e-11,8.533838e-08,-9.488325e-08
4.700000e-12,-5.918982e-09,1.017823e-10,2.653531e-04,-1.744008e-11,1.315339e-07,-1.371840e-07
4.800000e-12,-6.060545e-09,1.460045e-10,2.709989e-04,-2.692976e-11,1.977131e-07,-1.926666e-07
4.900000e-12,-6.180048e-09,2.039237e-10,2.766447e-04,-4.062761e-11,2.900077e-07,-2.629279e-07
5.000000e-12,-6.279094e-09,2.774580e-10,2.822905e-04,-5.992129e-11,4.153792e-07,-3.487712e-07
5.100000e-12,-6.367782e-09,3.679537e-10,2.879363e-04,-8.645328e-11,5.813554e-07,-4.498627e-07
5.200000e-12,-6.459398e-09,4.759043e-10,2.935822e-04,-1.220943e-10,7.956487e-07,-5.644697e-07
5.300000e-12,-6.564126e-09,6.007251e-10,2.992280e-04,-1.688887e-10,1.065685e-06,-6.893548e-07
5.400000e-12,-6.684996e-09,7.406385e-10,3.048737e-04,-2.289714e-10,1.398098e-06,-8.198876e-07
5.500000e-12,-6.817814e-09,8.927171e-10,3.105195e-04,-3.044581e-10,1.798257e-06,-9.503978e-07
5.600000e-12,-6.954605e-09,1.053106e-09,3.161653e-04,-3.973172e-10,2.269914e-06,-1.074743e-06
5.700000e-12,-7.088397e-09,1.217420e-09,3.218111e-04,-5.092331e-10,2.815033e-06,-1.187012e-06
5.800000e-12,-7.216692e-09,1.381256e-09,3.274569e-04,-6.414751e-10,3.433844e-06,-1.282234e-06
5.900000e-12,-7.342020e-09,1.540757e-09,3.331027e-04,-7.947867e-10,4.125121e-06,-1.356951e-06
6.000000e-12,-7.469608e-09,1.693110e-09,3.387485e-04,-9.693087e-10,4.886650e-06,-1.409528e-06
6.100000e-12,-7.603747e-09,1.836890e-09,3.443942e-04,-1.164548e-09,5.715783e-06,-1.440128e-06
6.200000e-12,-7.744935e-09,1.972167e-09,3.500400e-04,-1.379399e-09,6.609990e-06,-1.450353e-06
6.300000e-12,-7.889280e-09,2.100356e-09,3.556858e-04,-1.612215e-09,7.567290e-06,-1.442670e-06
6.400000e-12,-8.030313e-09,2.223826e-09,3.613316e-04,-1.860934e-09,8.586481e-06,-1.419740e-06
6.500000e-12,-8.162124e-09,2.345348e-09,3.669774e-04,-2.123242e-09,9.667135e-06,-1.383861e-06
6.600000e-12,-8.282106e-09,2.467504e-09,3.726232e-04,-2.396758e-09,1.080939e-05,-1.336642e-06
6.700000e-12,-8.391999e-09,2.592159e-09,3.782690e-04,-2.679236e-09,1.201361e-05,-1.278981e-06
6.800000e-12,-8.496852e-09,2.720137e-09,3.839148e-04,-2.968760e-09,1.327999e-05,-1.211317e-06
6.900000e-12,-8.602614e-09,2.851126e-09,3.895606e-04,-3.263910e-09,1.460828e-05,-1.134021e-06
7.000000e-12,-8.713663e-09,2.983849e-09,3.952064e-04,-3.563899e-09,1.599763e-05,-1.047770e-06
7.100000e-12,-8.831432e-09,3.116435e-09,4.008522e-04,-3.868656e-09,1.744667e-05,-9.537402e-07
7.200000e-12,-8.954619e-09,3.246897e-09,4.064979e-04,-4.178849e-09,1.895373e-05,-8.535323e-07
7.300000e-12,-9.080605e-09,3.373610e-09,4.121437e-04,-4.495854e-09,2.051719e-05,-7.488420e-07
